Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Abdallah Bakari,1844975,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Abdulqadir Jivajee,1844977,Annadil Seifee,"Academy Boys,Annadil Seifee,TCA Dar Combine,Kinondoni Boys U18,Dar Development Boys,Dar Combine,Dar Boys,Mikumi Hitters,Dar Youth Combine",All Rounder,Right Handed Batter,Right Arm Medium
Abubakari Abdallah,1844967,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Athumani Yusuph,1924909,Dar Development Boys,"Academy Boys,Dar Development Boys",All Rounder,Right Handed Batter,Right Arm Medium
Bilali Hamadi,1844976,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Emmanuel Frank,1844978,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Feisali Godfray,1844970,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Hashim Ibrahim,1844972,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Hudhaifa Saidi,1844973,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Ibrahim Athumani,1844966,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Ibrahim Yasin,1844971,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Ikramu Omary,1918400,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Ismail Hassan,1844982,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Jafari Jaha,1844980,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Jaredi Masheli,1918398,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Juma Bakari,1844968,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Karimu Salehe,1844983,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Mohammed Ayubu,1924910,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Mohammed Selemani,1844974,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Rahimu Maabali,1918399,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Ramadhan Salum,1844981,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Raymond Ndula,1844979,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
Tariki Harun,1844969,Academy Boys,Academy Boys,All Rounder,Right Handed Batter,Right Arm Medium
